數 一 1 一蕊花　 一朵花 1.【數】數目。例：一蕊花　tsi̍t luí hue(一朵花)。
形 一 1 紅嬰仔哭甲一身軀汗。 小嬰兒哭得滿身大汗。 2.【形】全部的、整個的。例：紅嬰仔哭甲一身軀汗。Âng-enn-á khàu kah tsi̍t sin-khu kuānn. (小嬰兒哭得滿身大汗。)　[近]全、規
副 一 1 一睏仔　 一下子 3.【副】表示時間短、數量少、程度輕等。例：一睏仔　tsi̍t-khùn-á(一下子)、一絲仔　tsi̍t-si-á(一點點)。
形 一 2 兩个生做一模一樣。 他們兩個長得一模一樣。 3.【形】相同的。例：兩个生做一模一樣。In nn̄g ê senn-tsò it-bôo-it-iūnn. (他們兩個長得一模一樣。)　
熟 一刀兩斷 3 兩兄弟仔為著拚生理，就按呢一刀兩斷無來去。 他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。 【熟】一刀斬成兩段，比喻斷絕關係。例：兩兄弟仔為著拚生理，就按呢一刀兩斷無來去。In nn̄g hiann-tī-á uī-tio̍h piànn sing-lí, tō án-ne it-to-lióng-tuān bô lâi-khì. (他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。)　
副 一下 4 老母一下死，囡仔就大聲吼。 媽媽一死，小孩子就大聲的哭。 2.【副】表示兩個動作間的連續狀況，相當於華語「一……就……」。例：老母一下死，囡仔就大聲吼。Lāu-bú tsi̍t-ē sí, gín-á tō tuā-siann háu. (媽媽一死，小孩子就大聲的哭。)　
助 一下 4 氣一下袂講話。 氣得說不出話來。 3.【助】連接動詞及補語，相當於華語「得」。例：氣一下袂講話。Khì tsi̍t-ē bē kóng-uē. (氣得說不出話來。)　
時 一月日 6 你一月日趁偌濟錢？ 你一個月賺多少錢？ 【時】一個月。例：你一月日趁偌濟錢？Lí tsi̍t gue̍h-ji̍t thàn guā-tsē tsînn? (你一個月賺多少錢？)　
熟 一日到暗 7 你毋好一日到暗拋拋走。 你不要一天到晚四處亂跑。 【熟】一天到晚、從早到晚，整天。例：你毋好一日到暗拋拋走。Lí m̄-hó tsi̍t-ji̍t-kàu-àm pha-pha-tsáu. (你不要一天到晚四處亂跑。)　
名 一世人 9 我一世人毋捌做過對不起別人的代誌。 我一輩子不曾做過對不起他人的事。 【名】一輩子。例：我一世人毋捌做過對不起別人的代誌。Guá tsi̍t-sì-lâng m̄-bat tsò-kuè tuì-put-khí pa̍t-lâng ê tāi-tsì. (我一輩子不曾做過對不起他人的事。)　
名 一半 10 買果子的錢，一人愛出一半。 買水果的錢，一人要出一半。 1.【名】二分之一。例：買果子的錢，一人愛出一半。Bé kué-tsí ê tsînn, tsi̍t lâng ài tshut tsi̍t-puànn. (買水果的錢，一人要出一半。)　
形 一半 10 塗跤一半擺仔無拭，袂偌垃圾啦！ 地板一兩次沒擦，不會多髒啦！ 2.【形】表示次數很少。例：塗跤一半擺仔無拭，袂偌垃圾啦！Thôo-kha tsi̍t-puànn-pái-á bô tshit, bē guā lah-sap--lah! (地板一兩次沒擦，不會多髒啦！)　
名 一半个仔 11 有一半个仔人客真𠢕嫌東嫌西。 有一兩個客人很會嫌東嫌西。 【名】幾個、一兩個、少數幾個。例：有一半个仔人客真𠢕嫌東嫌西。Ū tsi̍t-puànn-ê-á lâng-kheh tsin gâu hiâm-tang-hiâm-sai. (有一兩個客人很會嫌東嫌西。)　
熟 一半日仔 12 頭家人真好，我一半日仔無去，伊嘛袂按怎。 老闆人真好，我一兩天沒去，他也不會怎樣。 【熟】一兩天。例：頭家人真好，我一半日仔無去，伊嘛袂按怎。Thâu-ke lâng tsin hó, guá tsi̍t-puànn-ji̍t-á bô khì, i mā bē án-tsuánn. (老闆人真好，我一兩天沒去，他也不會怎樣。)　
副 一四界 13 物件毋通掖甲一四界。 東西不要撒得滿地都是。 【副】遍地、到處。例：物件毋通掖甲一四界。Mi̍h-kiānn m̄-thang iā kah tsi̍t-sì-kè. (東西不要撒得滿地都是。)　
副 一旦 14 一旦地動，彼間厝就會倒。 一旦地震，那間房子就會倒。 1.【副】假使有一天。例：一旦地動，彼間厝就會倒。It-tàn tē-tāng, hit king tshù tō ē tó. (一旦地震，那間房子就會倒。)　
形 一生 15 做教授是我一生的願望。 當教授是我一生的願望。 1.【形】畢生的、一輩子的。例：做教授是我一生的願望。Tsò kàu-siū sī guá it-sing ê guān-bōng. (當教授是我一生的願望。)　
名 一生 15 你毋通放蕩過一生。 你不要放蕩過一生。 2.【名】畢生、一輩子。例：你毋通放蕩過一生。Lí m̄-thang hòng-tōng kuè it-sing. (你不要放蕩過一生。)　
時 一目𥍉仔 16 對阮厝到公司，行路一目𥍉仔就到矣。 從我家裡到公司，走路只要一眨眼的時間就可以到了。 【時】一瞬間、一眨眼。指很短暫的時間。例：對阮厝到公司，行路一目𥍉仔就到矣。Tuì guán tshù kàu kong-si, kiânn-lōo tsi̍t-ba̍k-nih-á tō kàu--ah. (從我家裡到公司，走路只要一眨眼的時間就可以到了。)　一目𥍉仔大學四年就過去矣。Tsi̍t-ba̍k-nih--ah tāi-ha̍k sì-nî tō kuè-khì--ah. (一轉眼大學四年就過去了。)　
副 一來 19 一來我無時間，二來我無興趣，所以我無欲參加。 一來我沒時間，二來我沒興趣，所以我沒有要參加。 【副】首先。例：一來我無時間，二來我無興趣，所以我無欲參加。It--lâi guá bô sî-kan, jī--lâi guá bô hìng-tshù, só-í guá bô beh tsham-ka. (一來我沒時間，二來我沒興趣，所以我沒有要參加。)　
副 一定 20 你講過的話，一定愛會記得。 你說過的話一定要記得。 1.【副】必定、必然。例：你講過的話，一定愛會記得。Lí kóng--kuè ê uē, it-tīng ài ē-kì--tit. (你說過的話一定要記得。)　[近]包穩、必然
形 一定 20 伊食飯攏無一定的時間。 他吃飯時間不固定。 2.【形】固定的。例：伊食飯攏無一定的時間。I tsiah-pn̄g lóng bô it-tīng ê sî-kan. (他吃飯時間不固定。)　
副 一直 21 一直向前行，毋免轉斡。 一直向前走過去，不用轉彎。 1.【副】朝同一個方向直行而去。例：一直向前行，毋免轉斡。It-ti̍t hiòng tsîng kiânn, m̄-bián tńg-uat. (一直向前走過去，不用轉彎。)　
副 一直 21 阿美一直咧掃塗跤，攏無歇睏。 阿美一直在掃地，都沒有休息。 2.【副】持續不間斷。例：阿美一直咧掃塗跤，攏無歇睏。A-bí it-ti̍t teh sàu thôo-kha, lóng bô hioh-khùn. (阿美一直在掃地，都沒有休息。)　
副 一律 22 伊對伊的學生一律攏真嚴格。 他對他的學生一律都很嚴格。 【副】全部都一樣。例：伊對伊的學生一律攏真嚴格。I tuì i ê ha̍k-sing it-lu̍t lóng tsin giâm-keh. (他對他的學生一律都很嚴格。)　
形 一致 23 伊佮我的看法並無一致。 他跟我的看法並不一致。 【形】趨向相同。例：伊佮我的看法並無一致。I kah guá ê khuànn-huat pīng bô it-tì. (他跟我的看法並不一致。)　
副 一面 24 伊一面做工，一面讀冊。 他一邊工作，一邊讀書。 1.【副】描述兩種以上的事情同時進行著。例：伊一面做工，一面讀冊。I tsi̍t-bīn tsò-kang, tsi̍t-bīn tha̍k-tsheh. (他一邊工作，一邊讀書。)　
形 一面 24 一面抹壁雙面光。 用抹刀抹牆壁，不但牆壁光滑，連抹刀也光滑。形容人很會做人，雙方面都能討好。 2.【形】片面的，單方面的。例：一面抹壁雙面光。Tsi̍t-bīn buah-piah siang-bīn kng. (用抹刀抹牆壁，不但牆壁光滑，連抹刀也光滑。形容人很會做人，雙方面都能討好。)　
形 一屑仔 26 伊食一屑仔飯爾爾。 他吃一點點飯而已。 【形】一點點。形容體積很小或數量很少。例：伊食一屑仔飯爾爾。I tsia̍h tsi̍t-sut-á pn̄g niā-niā. (他吃一點點飯而已。)　
名 一家伙仔 27 一家伙仔對人攏真客氣。 他們一家子對人都很客氣。 【名】一家子。全家人、同一家人。例：一家伙仔對人攏真客氣。In tsi̍t-ke-hué-á tuì lâng lóng tsin khè-khì. (他們一家子對人都很客氣。)　
形 一般 28 一般人攏真愛面子。 一般人都很愛面子。 【形】普遍性的、平常的。例：一般人攏真愛面子。It-puann lâng lóng tsin ài bīn-tsú. (一般人都很愛面子。)　
形 一粒一 31 這擺欲替伊開刀的醫生攏是一粒一的。 這次為她開刀的醫生都是最好的。 1.【形】最好的、第一流的。例：這擺欲替伊開刀的醫生攏是一粒一的。Tsit pái beh thè i khui-to ê i-sing lóng sī it-lia̍p-it--ê. (這次為她開刀的醫生都是最好的。)　
形 一粒一 31 阿英佮我是一粒一的好朋友。 阿英和我是最要好的朋友。 2.【形】最投契的。例：阿英佮我是一粒一的好朋友。A-ing kah guá sī it-lia̍p-it--ê hó-pîng-iú. (阿英和我是最要好的朋友。)　
