20237 址 tsí 
20238 均 kin/kun 
20239 坊 【白】hng 
20240 坊 【文】hong 
20242 坐 【文】tsō 
20243 坑 【文】khing 
20244 壯 tsòng 
20245 妍 gián 
20246 妒 tòo 
20247 妓 ki 
20248 妥 thò 
20249 妨 hông 
20250 孜 tsu 
20251 孝 【白】hà 
20252 宏 hông 
20253 希 hi 
20254 庇 pì 
20255 床 【文】tshông 
20256 序 【替】sī 
20257 序 【白】sī 
20258 廷 tîng 
20259 弄 【文】lōng 
20260 彷 hóng 
20261 役 【文】i̍k 
20262 忌 kī 
20263 忤 ngóo 
20264 快 khuìnn 
20265 戒 kài 
20266 扭 【文】liú 
20267 批 【文】phi 
20268 扼 i̍k 
20269 把 【文】pá 
20270 把 【替】pà 
20271 抗 khòng 
20272 折 tsik 
20273 更 【文】king 
20274 更 kìng 
20275 杆 【文】kan 
20276 杉 sam 
20277 杖 【文】tiōng 
20278 杖 【白】thn̄g 
20279 杜 tōo 
20280 杞 kí 
20281 決 kuat 
20282 汽 khì 
20283 沈 sím 
20284 沌 tūn 
20285 沐 bo̍k 
20287 沒 bu̍t 
20288 沙 【文】sa 
20289 沙 【白】se 
20290 沛 phài 
20291 沢 【替】tshioh 
20292 灶 【文】tsò 
20293 灸 kù 
20294 牡 bóo 
20295 牢 【文】lô 
20296 甫 hú 
20297 町 ting 
20298 禿 【白】thuh 
20299 禿 【文】thut 
20300 秀 siù 
20301 私 【白】sai 
20302 私 【白】si 
20303 究 kiù 
20304 肓 bông 
20305 肖 siàu 
20306 肘 tiú 
20307 肛 kong 
20308 育 io̍k 
20309 良 liông 
20310 芋 【文】ū 
20311 芍 tsiok 
20312 芎 kiong 
20313 芒 【白】bâng 
20314 芒 【文】bông 
20317 谷 kok 
20318 豸 thuā 
20319 貝 puè 
20320 赤 【文】tshik 
20321 走 【文】tsóo 
20322 車 【文】ki/ku 
20323 迅 sìn 
20324 邑 ip 
20325 邦 pang 
20326 阮 ńg 
20327 乳 jú/lú 
20328 亞 【替】a 
20329 享 hiáng 
20330 享 hióng 
